speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
ANAKIN,OBI-WAN,155,Grab that... Keep us level.,1,5,
OBI-WAN,ANAKIN,156,Steady.,1,1,
ANAKIN,R2D2,157,"Easy, Artoo.",1,2,
OBI-WAN,ANAKIN,158,Five thousand. Fire ships on the left and the right.,1,10,
MALE VOICE,NA,159,We'll take you in,1,4,
OBI-WAN,NA,160,Copy that.,1,2,
OBI-WAN,ANAKIN,161,Landing strip's straight ahead.,1,4,
ANAKIN,OBI-WAN,162,We're coming in too hot.,1,5,
OBI-WAN,ANAKIN,163,Another happy landing.,1,3,
ANAKIN,OBI-WAN,164,"Are you coming, Master?",1,4,
OBI-WAN,ANAKIN,165,"Oh no. I'm not brave enough for politics. I have to report to the Council. Besides, someone needs to be the poster boy.",1,23,
ANAKIN,OBI-WAN,166,"Hold on, this whole operation was your idea.",1,8,
OBI-WAN,ANAKIN,167,"Let us not forget, Anakin, that you rescued me from the Buzz Droids. And you killed Count Dooku. And you rescued the Chancellor, carrying me unconscious on your back.",1,29,
ANAKIN,OBI-WAN,168,All because of your training.,1,5,
OBI-WAN,ANAKIN,169,"Anakin, let's be fair. Today, you were the hero and you deserve your glorious day with the politicians.",1,18,
ANAKIN,OBI-WAN,170,All right. But you owe me one... and not for saving your skin for the tenth time...,1,17,
OBI-WAN,ANAKIN,171,Ninth time... that business on Cato Nemoidia doesn't- doesn't count. I'll see you at the briefing.,1,16,
MACE WINDU,PALPATINE,172,"Chancellor Palpatine, are you all right?",2,6,
PALPATINE,MACE WINDU,173,"Yes, thanks to your two Jedi Knights. They killed Count Dooku, but General Grievous has escaped once again.",1,18,
MACE WINDU,PALPATINE,174,"General Grievous will run and hide, as he always does. He's a coward.",2,13,
PALPATINE,MACE WINDU,175,"But with Count Dooku dead, he is the leader of the Droid Army, and I assure you, the Senate will vote to continue the war as long as Grievous is alive.",1,31,
MACE WINDU,PALPATINE,176,Then the Jedi Council will make finding Grievous our highest priority.,2,11,
THREEPIO,R2D2,177,"Come along, R2",1,3,
BAIL ORGANA,ANAKIN,178,The Republic cannot praise you enough.,1,6,
ANAKIN,BAIL ORGANA,179,"Thank you, Senator Organa.",1,4,
THREEPIO,R2D2,180,It couldn't possibly be as bad as all that.,1,9,
THREEPIO,R2D2,181,"Well, there, I agree with you. In fact, I could do with a tune-up myself.",1,15,
ANAKIN,BAIL ORGANA,182,But the fighting will continue until General Grievous is spare parts...,1,11,
BAIL ORGANA,ANAKIN,183,"Well, I will do everything I can with the Senate.",1,10,
ANAKIN,BAIL ORGANA,184,Excuse me.,1,2,
BAIL ORGANA,ANAKIN,185,Certainly.,1,1,
PADME,ANAKIN,186,"Oh, Anakin!",1,2,
ANAKIN,PADME,187,"I've missed you, Padme.",1,4,
PADME,ANAKIN,188,There were whispers... that you'd been killed.,1,7,
ANAKIN,PADME,189,I'm all right. It feels like we've been apart for a lifetime. And it might have been... If the Chancellor hadn't been kidnapped. I don't think they would have ever brought us back from the Outer Rim sieges.,1,38,
PADME,ANAKIN,190,"Wait, not here...",1,3,
ANAKIN,PADME,191,"Yes, here! I'm tired of all this deception. I don't care if they know we're married.",1,16,
PADME,ANAKIN,192,"Anakin, don't say things like that.",1,6,
ANAKIN,PADME,193,Are you all right? You're trembling. What's going on?,1,9,
PADME,ANAKIN,194,"Something wonderful has happened. Ani, I'm pregnant.",2,7,
ANAKIN,PADME,195,That's... Well that's wonderful,1,4,
PADME,ANAKIN,196,What are we gonna do?,1,5,
ANAKIN,PADME,197,"We're not going to worry about anything right now, all right? This is a happy moment. The happiest moment of my life.",1,22,
GENERAL GRIEVOUS,PALPATINE,198,"Yes, Lord Sidious.",1,3,
PALPATINE,GENERAL GRIEVOUS,199,General Grievous... I suggest you move the separatist leaders to Mustafar.,3,11,
GENERAL GRIEVOUS,PALPATINE,200,"It will be done, My Lord.",1,6,
PALPATINE,GENERAL GRIEVOUS,201,"The end of the war is near, General.",1,8,
GENERAL GRIEVOUS,PALPATINE,202,But the loss of Count Dooku?,1,6,
PALPATINE,GENERAL GRIEVOUS,203,His death was a necessary loss. Soon I will have a new apprentice- one far younger and more powerful.,4,19,
PADME,ANAKIN,204,"Ani, I want to have our baby back home on Naboo. We can go to the lake country where no one will know... where we can be safe. I can go early and fix up the baby's room. I know the perfect spot, right by the gardens.",1,47,
ANAKIN,PADME,205,You are so beautiful!,1,4,
PADME,ANAKIN,206,It's only because I'm so in love...,1,7,
ANAKIN,PADME,207,"No, no, it's because I'm so in love with you.",1,10,
PADME,ANAKIN,208,So love has blinded you?,1,5,
ANAKIN,PADME,209,"Well, that's not exactly what I meant...",1,7,
PADME,ANAKIN,210,"But it's probably true! Anakin, help me! What's bothering you?",3,10,
ANAKIN,PADME,211,Nothing... I remember when I gave this to you.,2,9,
PADME,ANAKIN,212,How long is it going to take for us to be honest with each other?,1,15,
ANAKIN,PADME,213,It was a dream.,1,4,
PADME,ANAKIN,214,Bad?,1,1,
ANAKIN,PADME,215,Like the ones I used to have about my mother just before she died.,1,14,
PADME,ANAKIN,216,And?,1,1,
ANAKIN,PADME,217,And it was about you.,1,5,
PADME,ANAKIN,218,Tell me.,1,2,
ANAKIN,PADME,219,It was only a dream. You die in childbirth...,2,9,
PADME,ANAKIN,220,And the baby?,1,3,
ANAKIN,PADME,221,I don't know.,1,3,
PADME,ANAKIN,222,It was only a dream.,1,5,
ANAKIN,PADME,223,...I won't let this one become real.,1,7,
PADME,ANAKIN,224,"This baby will change our lives. I doubt the Queen will continue to allow me to serve in the Senate, and if the Council discovers you are the father, you will be expelled-.",1,33,
ANAKIN,PADME,225,"I know, I know.",1,4,
PADME,ANAKIN,226,Do you think Obi-Wan might be able to help us?,1,10,
ANAKIN,PADME,227,We don't need his help. Our baby is a blessing.,1,10,
YODA,ANAKIN,228,Premonitions... premonitions... Hm... these visions you have...,1,7,
ANAKIN,YODA,229,"They are of pain, suffering, death...",1,6,
YODA,ANAKIN,230,"Yourself you speak of, or someone you know?",1,8,
ANAKIN,YODA,231,Someone...,1,1,
YODA,ANAKIN,232,...close to you?,1,3,
ANAKIN,YODA,233,Yes.,1,1,
YODA,ANAKIN,234,"Careful you must be when sensing the future, Anakin. The fear of loss is a path to the dark side.",1,20,
ANAKIN,YODA,235,"I won't let these visions come true, Master Yoda.",1,9,
YODA,ANAKIN,236,"Death is a natural part of life. Rejoice for those around you who transform into the Force. Mourn them, do not. Miss them, do not. Attachment leads to jealousy. The shadow of greed, that is.",1,35,
ANAKIN,YODA,237,"What must I do, Master Yoda?",1,6,
YODA,ANAKIN,238,Train yourself to let go of everything you fear to lose.,1,11,
OBI-WAN,ANAKIN,239,You missed the report on the Outer Rim sieges.,1,9,
ANAKIN,OBI-WAN,240,"I'm sorry, I was held up. I have no excuse.",1,10,
OBI-WAN,ANAKIN,241,"In short, they are going very well. Saleucami has fallen, and Master Vos has moved his troops to Boz Pity.",1,20,
ANAKIN,OBI-WAN,242,What's wrong then?,1,3,
OBI-WAN,ANAKIN,243,The Senate is expected to vote more executive powers to the Chancellor today.,1,13,
ANAKIN,OBI-WAN,244,"Well, that can only mean less deliberating and more action. Is that bad? It will make it easier for us to end this war.",1,24,
OBI-WAN,ANAKIN,245,Be careful of your friend Palpatine.,1,6,
ANAKIN,OBI-WAN,246,Be careful of what?,1,4,
OBI-WAN,ANAKIN,247,He has requested your presence.,1,5,
ANAKIN,OBI-WAN,248,What for?,1,2,
OBI-WAN,ANAKIN,249,He would not say.,1,4,
ANAKIN,OBI-WAN,250,"He didn't inform the Council? That's unusual, isn't it?",1,9,
OBI-WAN,ANAKIN,251,"All of this is unusual, and it's making me feel uneasy.",1,11,
PALPATINE,ANAKIN,252,"I hope you trust me, Anakin.",1,6,
ANAKIN,PALPATINE,253,Of course.,1,2,
PALPATINE,ANAKIN,254,"I need your help, son.",1,5,
ANAKIN,PALPATINE,255,What do you mean?,1,4,
PALPATINE,ANAKIN,256,I'm depending on you.,1,4,
ANAKIN,PALPATINE,257,For what? I don't understand.,1,5,
PALPATINE,ANAKIN,258,"To be the eyes, ears and voice of the Republic. Anakin... I'm appointing you to be my personal representative on the Jedi Council.",2,23,
ANAKIN,PALPATINE,259,"Me? A Master? I am overwhelmed, sir, but the Council elects its own members. They'll never accept this.",1,18,
PALPATINE,ANAKIN,260,I think they will... they need you more than you know.,1,11,
YODA,ANAKIN,261,"Allow this appointment lightly, the Council does not. Disturbing is this move by Chancellor Palpatine.",1,15,
ANAKIN,YODA,262,I understand.,1,2,
MACE WINDU,ANAKIN,263,"You are on this Council, but we do not grant you the rank of Master.",1,15,
ANAKIN,MACE WINDU,264,"What? ! How can you do this?? This is outrageous, it's unfair... How can you be on the Council and not be a Master?",1,24,
MACE WINDU,ANAKIN,265,"Take a seat, young Skywalker.",1,5,
ANAKIN,MACE WINDU,266,"Forgive me, Master.",1,3,
KI-ADI-MUNDI,GROUP,267,"We have surveyed all systems in the Republic, but have found no sign of General Grievous.",1,16,
YODA,KI-ADI-MUNDI,268,"Hiding in the Outer Rim, Grievous is. The outlying systems, you must sweep.",1,13,
OBI-WAN,YODA,269,We do not have many ships to spare.,1,8,
KI-ADI-MUNDI,YODA,270,What about the droid attack on the Wookiees?,1,8,
MACE WINDU,YODA,271,"It is critical we send an attack group there, immediately!",1,10,
OBI-WAN,YODA,272,"He's right, that is a system we cannot afford to lose.",1,11,
YODA,MACE WINDU,273,"Go, I will. Good relations with the Wookiees, I have.",1,10,
MACE WINDU,"YODA, KI-ADI-MUNDI, OBI-WAN, ANAKIN",274,It is settled then. Yoda will take a battalion of clones to reinforce the Wookiees on Kashyyyk. May the Force be with us all.,1,24,
ANAKIN,OBI-WAN,275,"What kind of nonsense is this, put me on the Council and not make me a Master!?? That's never been done in the history of the Jedi. It's insulting!",1,29,
OBI-WAN,ANAKIN,276,"Calm down, Anakin. You have been given a great honor. To be on the Council at your age... It's never happened before. The fact of the matter is you're too close to the Chancellor. The Council doesn't like it when he interferes in Jedi affairs.",1,45,
ANAKIN,OBI-WAN,277,"I swear to you, I didn't ask to be put on the Council...",1,13,
OBI-WAN,ANAKIN,278,But it's what you wanted! Your friendship with Chancellor Palpatine seems to have paid off.,1,15,
ANAKIN,OBI-WAN,279,That has nothing to do with this.,1,7,
OBI-WAN,ANAKIN,280,The only reason the Council has approved your appointment is because the Chancellor trusts you.,1,15,
