speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
YODA,PALPATINE,656,"I hear a new apprentice, you have. Emperor, or should I call you Darth Sidious?",1,15,
PALPATINE,YODA,657,Master Yoda. You survived.,1,4,
YODA,PALPATINE,658,Surprised?,1,1,
PALPATINE,YODA,659,"Your arrogance blinds you, Master Yoda. Now you will experience the full power of the dark side. I have waited a long time for this moment, my little green friend. At last the Jedi are no more.",2,37,
YODA,PALPATINE,660,"Not if anything to say about it, I have. At an end your rule is and not short enough it was. If so powerful you are, why leave?",3,28,
PALPATINE,YODA,661,You will not stop me. Darth Vader will become more powerful than either of us.,1,15,
YODA,PALPATINE,662,"Faith in your new apprentice, misplaced may be, as is your faith in the dark side of the Force.",1,19,
YODA,BAIL ORGANA,663,Hurry. Careful timing we will need.,1,6,
BAIL ORGANA,YODA,664,Activate your homing beacon when you're ready.,1,7,
CLONE COMMANDER THIRE,"MAS AMEDDA, PALPATINE",665,"There is no sign of his body, sir.",1,8,
MAS AMEDDA,CLONE COMMANDER THIRE,666,Then he is not dead.,1,5,
PALPATINE,CLONE COMMANDER THIRE,667,Double your search.,1,3,
CLONE COMMANDER THIRE,"MAS AMEDDA, PALPATINE",668,"Yes sir. Right away, sir.",1,5,
PALPATINE,MAS AMEDDA,669,Tell Captain Kagi to prepare my shuttle for immediate takeoff.,1,10,
MAS AMEDDA,PALPATINE,670,"Yes, Master.",1,2,
PALPATINE,MAS AMEDDA,671,I sense Lord Vader is in danger.,1,7,
YODA,BAIL ORGANA,672,"Into exile I must go. Failed, I have.",1,8,
OBI-WAN,VADER,673,"I have failed you, Anakin. I have failed you.",1,9,
VADER,OBI-WAN,674,I should have known the Jedi were plotting to take over.,1,11,
OBI-WAN,VADER,675,"Anakin, Chancellor Palpatine is evil.",1,5,
VADER,OBI-WAN,676,"From my point of view, the Jedi are evil.",1,9,
OBI-WAN,VADER,677,"Well, then you are lost!",1,5,
VADER,OBI-WAN,678,"This is the end for you, My Master.",1,8,
OBI-WAN,VADER,679,"It's over, Anakin. I have the high ground.",1,8,
VADER,OBI-WAN,680,You underestimate my power!,1,4,
OBI-WAN,VADER,681,"Don't try it. You were the Chosen One! It was said that you would, destroy the Sith, not join them. Bring balance to the Force, not leave it in darkness.",2,30,
VADER,OBI-WAN,682,I hate you!,1,3,
OBI-WAN,VADER,683,"You were my brother, Anakin. I loved you.",1,8,
THREEPIO,OBI-WAN,684,"Master Kenobi! We have Miss Padme on board. Please, please hurry. We should leave this dreadful place.",1,17,
PADME,OBI-WAN,685,Obi-Wan. Is Anakin all right?,1,5,
R2D2,R2D2,686,WHISTLES SOFTLY,1,2,
CLONE CAPTAIN,PALPATINE,687,"Your Majesty, this way. There he is.",1,7,
PALPATINE,CLONE CAPTAIN,688,"He's still alive. Get a medical capsule, immediately.",1,8,
CLONE CAPTAIN,PALPATINE,689,Yes sir. Right away.,1,4,
BAIL ORGANA,YODA,690,"Excuse me, Master Yoda. Obi-Wan Kenobi has made contact.",1,9,
BAIL ORGANA,OBI-WAN,691,"We'll take her to the medical center, quickly.",1,8,
MEDICAL DROID,OBI-WAN,692,"Medically, she's completely healthy. For reasons we can't explain, we are losing her.",1,13,
OBI-WAN,MEDICAL DROID,693,She's dying?,1,2,
MEDICAL DROID,OBI-WAN,694,We don't know why. She has lost the will to live. We need to operate quickly if we are to save the babies.,1,23,
BAIL ORGANA,MEDICAL DROID,695,Babies?,1,1,
MEDICAL DROID,BAIL ORGANA,696,She's carrying twins.,1,3,
PADME,OBI-WAN,697,Luke.,1,1,
PADME,LUKE,698,"Oh, Luke.",1,2,
OBI-WAN,PADME,699,It's a girl.,1,3,
PADME,OBI-WAN,700,...Leia. Obi-Wan? There's good in him. I know. I know there's...still...,2,11,
PALPATINE,VADER,701,"Lord Vader, can you hear me?",1,6,
VADER,PALPATINE,702,"Yes, Master. Where is Padme? Is she safe, is she all right?",2,12,
PALPATINE,VADER,703,"It seems, in your anger, you killed her.",1,8,
VADER,PALPATINE,704,I? I couldn't have. She was alive! I felt it! No!,1,11,
YODA,"BAIL ORGANA, OBI-WAN",705,"Hidden, safe, the children must be kept.",1,7,
OBI-WAN,"YODA, BAIL ORGANA",706,We must take them somewhere the Sith will not sense their presence.,1,12,
YODA,"BAIL ORGANA, OBI-WAN",707,"Split up, they should be.",1,5,
BAIL ORGANA,"YODA, OBI-WAN",708,My wife and I will take the girl. We've always talked of adopting a baby girl. She will be loved with us.,1,22,
OBI-WAN,"BAIL ORGANA, YODA",709,And what of the boy?,1,5,
YODA,OBI-WAN,710,"To Tatooine. To his family, send him.",1,7,
OBI-WAN,"YODA, BAIL ORGANA",711,I will take the child and watch over him.,1,9,
YODA,"BAIL ORGANA, OBI-WAN",712,"Until the time is right, disappear we will.",1,8,
YODA,OBI-WAN,713,"Master Kenobi, wait a moment. In your solitude on Tatooine, training I have for you.",1,15,
OBI-WAN,YODA,714,Training?,1,1,
YODA,OBI-WAN,715,An old friend has learned the path to immortality.,1,9,
OBI-WAN,YODA,716,Who?,1,1,
YODA,OBI-WAN,717,One who has returned from the netherworld of the Force to train me... your old Master.,1,16,
OBI-WAN,YODA,718,Qui-Gon?,1,1,
YODA,OBI-WAN,719,How to commune with him. I will teach you.,1,9,
BAIL ORGANA,CAPTAIN ANTILLES,720,Captain Antilles.,1,2,
CAPTAIN ANTILLES,BAIL ORGANA,721,"Yes, Your Highness.",1,3,
BAIL ORGANA,CAPTAIN ANTILLES,722,I'm placing these droids in your care. Treat them well. Clean them up. Have the Protocol Droid's mind wiped.,1,19,
THREEPIO,R2D2,723,What?,1,1,
THREEPIO,R2D2,724,"Oh, no.",1,2,
