from,to,dialogue,yarn_id
COUNT DOOKU,NA,we shall have an army greater than any in the galaxy.,874967
COUNT DOOKU,NA,The Jedi will be overwhelmed.,874967
COUNT DOOKU,NA,The Republic will agree to any demands we make.,874967
ANAKIN,SHMI,Mom.,874967
ANAKIN,SHMI,Mom?,874967
ANAKIN,SHMI,Mom?,874967
SHMI,ANAKIN,Ani?,874967
SHMI,ANAKIN,Ani?,874967
SHMI,ANAKIN,Is it you?,874967
ANAKIN,SHMI,"I'm here, Mom.",874967
ANAKIN,SHMI,You're safe.,874967
SHMI,ANAKIN,Ani?,874967
SHMI,ANAKIN,Ani?,874967
SHMI,ANAKIN,"Oh, you look so handsome.",874967
SHMI,ANAKIN,My son.,874967
SHMI,ANAKIN,"Oh, my grown-up son.",874967
SHMI,ANAKIN,"I'm so proud of you, Ani.",874967
ANAKIN,SHMI,I missed you.,874967
SHMI,ANAKIN,Now I am complete.,874967
SHMI,ANAKIN,I love-.,874967
ANAKIN,SHMI,"Stay with me, Mom.",874967
ANAKIN,SHMI,Everything--.,874967
SHMI,ANAKIN,I love-- I-- I love--,874967
QUI-GON,NA,Anakin!,874967
QUI-GON,NA,Anakin!,874967
??? OTHER VOICE,NA,No-o-o!,874967
MACE WINDU,YODA,What is it?,874967
YODA,MACE WINDU,"Pain, suffering.",874967
YODA,MACE WINDU,death I feel.,874967
YODA,MACE WINDU,Something terrible has happened.,874967
YODA,MACE WINDU,Young Skywalker is in pain.,874967
YODA,MACE WINDU,Terrible pain.,874967
OBI-WAN,OBI-WAN,"The transmitter is working, but we're not receiving a return signal.",874967
OBI-WAN,OBI-WAN,Coruscant's too far.,874967
OBI-WAN,R4,"R4, can you boost the power?",874967
OBI-WAN,R4,We'll have to try something else.,874967
OBI-WAN,R4,Maybe we can contact Anakin on Naboo.,874967
OBI-WAN,R4,It's much closer.,874967
OBI-WAN,NA,Anakin?,874967
OBI-WAN,NA,"Anakin, do you copy?",874967
OBI-WAN,NA,This is Obi-Wan Kenobi.,874967
OBI-WAN,NA,Anakin?,874967
OBI-WAN,R4,"He's not on Naboo, R4.",874967
OBI-WAN,R4,I'm going to try and widen the range.,874967
OBI-WAN,R4,I do hope nothing's happened to him.,874967
OBI-WAN,R4,"That's Anakin's tracking signal, all right.",874967
OBI-WAN,R4,but it's coming from Tatooine.,874967
OBI-WAN,R4,What in the blazes is he doing there?,874967
OBI-WAN,R4,I told him to stay on Naboo.,874967
OBI-WAN,R4,We haven't got much time.,874967
OBI-WAN,NA,Anakin?,874967
OBI-WAN,NA,"Anakin, do you copy?",874967
OBI-WAN,NA,This is Obi-Wan Kenobi.,874967
OBI-WAN,NA,"Retransmit this message-- Anakin, do you copy?",874967
OBI-WAN,NA,Anakin-- My long-range-- has been knocked out.,874967
OBI-WAN,NA,Retransmit this message to Coruscant.,874967
PADME,ANAKIN,I brought you something.,874967
PADME,ANAKIN,Are you hungry?,874967
ANAKIN,PADME,The shifter broke.,874967
ANAKIN,PADME,Life seems so much simpler when you're fixing things.,874967
ANAKIN,PADME,I'm good at fixing things.,874967
ANAKIN,PADME,Always was.,874967
ANAKIN,PADME,But I couldn't-- Why'd she have to die?,874967
ANAKIN,PADME,Why couldn't I save her?,874967
ANAKIN,PADME,I know I could have!,874967
PADME,ANAKIN,Sometimes there are things no one can fix.,874967
PADME,ANAKIN,"You're not all-powerful, Ani.",874967
ANAKIN,PADME,"Well, I should be!",874967
ANAKIN,PADME,Someday I will be.,874967
ANAKIN,PADME,I will be the most powerful Jedi ever!,874967
ANAKIN,PADME,I promise you.,874967
ANAKIN,PADME,I will even learn to stop people from dying.,874967
PADME,ANAKIN,Anakin.,874967
ANAKIN,PADME,It's all Obi-Wan's fault!,874967
ANAKIN,PADME,He's jealous!,874967
ANAKIN,PADME,He's holding me back!,874967
PADME,ANAKIN,"What's wrong, Ani?",874967
ANAKIN,PADME,I-- I killed them.,874967
ANAKIN,PADME,I killed them all.,874967
ANAKIN,PADME,They're dead.,874967
ANAKIN,PADME,Every single one of them.,874967
ANAKIN,PADME,And not just the men.,874967
ANAKIN,PADME,but the women.,874967
ANAKIN,PADME,and the children too.,874967
ANAKIN,PADME,"They're like animals, and I slaughtered them like animals!",874967
ANAKIN,PADME,I hate them!,874967
PADME,ANAKIN,To be angry is to be human.,874967
ANAKIN,PADME,I'm a Jedi.,874967
ANAKIN,PADME,I know I'm better than this.,874967
CLIEGG LARS,NA,I know wherever you are it's become a better place.,874967
CLIEGG LARS,NA,You were the most loving partner a man could ever have.,874967
CLIEGG LARS,NA,"Good-bye, my darling wife.",874967
CLIEGG LARS,NA,And thank you.,874967
ANAKIN,NA,"I wasn't strong enough to save you, Mom.",874967
ANAKIN,NA,I wasn't strong enough.,874967
ANAKIN,NA,But I promise I won't fail again.,874967
ANAKIN,NA,I miss you.,874967
ANAKIN,NA,so much.,874967
R2D2,"PADME, ANAKIN",[ Beeping ]
PADME,R2D2,R2?,874967
PADME,R2D2,What are you doing here?,874967
R2D2,"PADME, ANAKIN",[ Beeping ]
THREEPIO,"PADME, ANAKIN",It seems that he is carrying a message from an Obi-Wan Kenobi.,874967
THREEPIO,ANAKIN,"Master Ani, does that name mean anything to you?",874967
R2D2,"THREEPIO, PADME, ANAKIN",[ Beeping ]
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA","Anakin, my long-range transmitter has been knocked out.",874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",Retransmit this message to Coruscant.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA","I have tracked the bounty hunter, Jango Fett.",874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",to the droid foundries on Geonosis.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",The Trade Federation is to take delivery of a droid army here.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",and it is clear that Viceroy Gunray.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",is behind the assassination attempts on Senator Amidala.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",The Commerce Guilds and the Corporate Alliance.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",have both pledged their armies to Count Dooku and are forming a-- Wait.,874967
OBI-WAN,"ANAKIN, PADME, YODA, MACE WINDU, JAR JAR, BAIL ORGANA, PALPATINE, MAS AMEDDA",Wait.,874967
YODA,MACE WINDU,"More happening on Geonosis, I feel, than has been revealed.",874967
MACE WINDU,YODA,I agree.,874967
MACE WINDU,ANAKIN,"Anakin, we will deal with Count Dooku.",874967
MACE WINDU,ANAKIN,The most important thing for you is to stay where you are.,874967
MACE WINDU,ANAKIN,Protect the senator at all costs.,874967
MACE WINDU,ANAKIN,That is your first priority.,874967
ANAKIN,MACE WINDU,"Understood, Master.",874967
PADME,ANAKIN,They'll never get there in time to save him.,874967
PADME,ANAKIN,They have to come halfway across the galaxy.,874967
PADME,ANAKIN,Look.,874967
PADME,ANAKIN,Geonosis is less than a parsec away.,874967
ANAKIN,PADME,If he's still alive.,874967
PADME,ANAKIN,"Ani, are you just gonna sit here and let him die?",874967
PADME,ANAKIN,"He's your friend, your mentor.",874967
PADME,ANAKIN,He's--.,874967
ANAKIN,PADME,He's like my father!,874967
ANAKIN,PADME,But you heard Master Windu.,874967
ANAKIN,PADME,He gave me strict orders to stay here!,874967
PADME,ANAKIN,He gave you strict orders to protect me.,874967
PADME,ANAKIN,and I'm going to help Obi-Wan.,874967
PADME,ANAKIN,"If you plan to protect me, you'll just have to come along.",874967
R2D2,THREEPIO,BEEPS THREE TIMES
THREEPIO,R2D2,"I'm not worried, R2.",874967
THREEPIO,R2D2,It's just I've never flown before.,874967
BAIL ORGANA,"PALPATINE, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",The Commerce Guilds are preparing for war.,874967
BAIL ORGANA,"PALPATINE, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",There can be no doubt of that.,874967
PALPATINE,"BAIL ORGANA, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",Count Dooku must have made a treaty with them.,874967
SENATOR ASK AAK,"BAIL ORGANA, PALPATINE, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",The debate is over.,874967
SENATOR ASK AAK,"BAIL ORGANA, PALPATINE, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",Now we need that clone army.,874967
BAIL ORGANA,"PALPATINE, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU","Unfortunately, the debate is not over.",874967
BAIL ORGANA,"PALPATINE, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",The senate will never approve the use of clones before the separatists attack.,874967
MAS AMEDDA,"BAIL ORGANA, PALPATINE, SENATOR ASK AAK, JAR JAR, YODA, MACE WINDU",This is a crisis.,874967
MAS AMEDDA,"BAIL ORGANA, PALPATINE, SENATOR ASK AAK, JAR JAR, YODA, MACE WINDU",The senate must vote the chancellor emergency powers.,874967
MAS AMEDDA,"BAIL ORGANA, PALPATINE, SENATOR ASK AAK, JAR JAR, YODA, MACE WINDU",He can then approve the creation of an army.,874967
PALPATINE,"BAIL ORGANA, SENATOR ASK AAK, MAS AMEDDA, JAR JAR, YODA, MACE WINDU",But what senator would have the courage to propose such a radical amendment?,874967
MAS AMEDDA,"BAIL ORGANA, PALPATINE, MAS AMEDDA, JAR JAR, SENATOR ASK AAK, YODA, MACE WINDU",If only.,874967
MAS AMEDDA,"BAIL ORGANA, PALPATINE, MAS AMEDDA, JAR JAR, SENATOR ASK AAK, YODA, MACE WINDU",Senator Amidala were here.,874967
OBI-WAN,COUNT DOOKU,Traitor.,874967
COUNT DOOKU,OBI-WAN,"Oh, no, my friend.",874967
COUNT DOOKU,OBI-WAN,"This is a mistake, a terrible mistake.",874967
COUNT DOOKU,OBI-WAN,They have gone too far.,874967
COUNT DOOKU,OBI-WAN,This is madness.,874967
OBI-WAN,COUNT DOOKU,"I thought you were the leader here, Dooku.",874967
COUNT DOOKU,OBI-WAN,"This had nothing to do with me, I assure you.",874967
COUNT DOOKU,OBI-WAN,I will petition immediately to have you set free.,874967
OBI-WAN,COUNT DOOKU,"Well, I hope it doesn't take too long.",874967
OBI-WAN,COUNT DOOKU,I have work to do.,874967
COUNT DOOKU,OBI-WAN,May I ask why a Jedi knight.,874967
COUNT DOOKU,OBI-WAN,is all the way out here on Geonosis?,874967
OBI-WAN,COUNT DOOKU,I've been tracking a bounty hunter named Jango Fett.,874967
OBI-WAN,COUNT DOOKU,Do you know him?,874967
COUNT DOOKU,OBI-WAN,There are no bounty hunters here that I am aware of.,874967
COUNT DOOKU,OBI-WAN,The Geonosians don't trust them.,874967
OBI-WAN,COUNT DOOKU,Who can blame them?,874967
OBI-WAN,COUNT DOOKU,"But he is here, I can assure you.",874967
COUNT DOOKU,OBI-WAN,"It's a great pity that our paths have never crossed before, Obi-Wan.",874967
COUNT DOOKU,OBI-WAN,Qui-Gon always spoke very highly of you.,874967
COUNT DOOKU,OBI-WAN,I wish he were still alive.,874967
COUNT DOOKU,OBI-WAN,I could use his help right now.,874967
OBI-WAN,COUNT DOOKU,Qui-Gon Jinn would never join you.,874967
COUNT DOOKU,OBI-WAN,"Don't be so sure, my young Jedi.",874967
COUNT DOOKU,OBI-WAN,You forget that he was once my apprentice.,874967
COUNT DOOKU,OBI-WAN,just as you were once his.,874967
COUNT DOOKU,OBI-WAN,He knew all about the corruption in the senate.,874967
COUNT DOOKU,OBI-WAN,but he would never have gone along with it if he had learned the truth as I have.,874967
OBI-WAN,COUNT DOOKU,The truth?,874967
COUNT DOOKU,OBI-WAN,The truth.,874967
COUNT DOOKU,OBI-WAN,What if I told you that the Republic.,874967
COUNT DOOKU,OBI-WAN,was now under the control of the dark lord of the Sith?,874967
OBI-WAN,COUNT DOOKU,"No, that's not possible.",874967
OBI-WAN,COUNT DOOKU,The Jedi would be aware of it.,874967
COUNT DOOKU,OBI-WAN,"The dark side of the Force has clouded their vision, my friend.",874967
COUNT DOOKU,OBI-WAN,Hundreds of senators are now under the influence.,874967
COUNT DOOKU,OBI-WAN,of a Sith lord called Darth Sidious.,874967
OBI-WAN,COUNT DOOKU,I don't believe you.,874967
COUNT DOOKU,OBI-WAN,The viceroy of the Trade Federation.,874967
COUNT DOOKU,OBI-WAN,was once in league with this Darth Sidious.,874967
COUNT DOOKU,OBI-WAN,but he was betrayed ten years ago by the dark lord.,874967
COUNT DOOKU,OBI-WAN,He came to me for help.,874967
COUNT DOOKU,OBI-WAN,He told me everything.,874967
COUNT DOOKU,OBI-WAN,"You must join me, Obi-Wan.",874967
COUNT DOOKU,OBI-WAN,and together we will destroy the Sith!,874967
OBI-WAN,COUNT DOOKU,"I will never join you, Dooku.",874967
COUNT DOOKU,OBI-WAN,It may be difficult to secure your release.,874967
JAR JAR,GROUP,It's-a clear desa separatists made a pact.,874967
JAR JAR,GROUP,wesa desa Federation du Trade.,874967
JAR JAR,GROUP,"Senators, ''dellow felagates'' In response to this direct threat to the Republic.",874967
JAR JAR,GROUP,mesa propose that the senate.,874967
JAR JAR,GROUP,give immediately emergency powers.,874967
JAR JAR,GROUP,to the supreme chancellor.,874967
AUDIENCE,JAR JAR,Palpatine!,874967
AUDIENCE,JAR JAR,Palpatine!,874967
AUDIENCE,JAR JAR,Palpatine!,874967
MAS AMEDDA,GROUP,Order!,874967
MAS AMEDDA,GROUP,We shall have order!,874967
PALPATINE,GROUP,It is with great reluctance.,874967
PALPATINE,GROUP,that I have agreed to this calling.,874967
PALPATINE,GROUP,I love democracy.,874967
PALPATINE,GROUP,I love the Republic.,874967
PALPATINE,GROUP,The power you give me.,874967
PALPATINE,GROUP,I will lay down when this crisis has abated.,874967
PALPATINE,GROUP,And as my first act with this new authority.,874967
PALPATINE,GROUP,I will create a grand army of the Republic.,874967
PALPATINE,GROUP,to counter the increasing threats of the separatists.,874967
MACE WINDU,YODA,"It is done, then.",874967
MACE WINDU,YODA,I will take what Jedi we have left and go to Geonosis and help Obi-Wan.,874967
YODA,MACE WINDU,Visit I will the cloners on Kamino.,874967
YODA,MACE WINDU,and see this army they have created for the Republic.,874967
PADME,ANAKIN,See those columns of steam straight ahead?,874967
PADME,ANAKIN,They're exhaust vents of some type.,874967
ANAKIN,PADME,That'll do.,874967
PADME,ANAKIN,"Look, whatever happens out there, follow my lead.",874967
PADME,ANAKIN,I'm not interested in getting into a war here.,874967
PADME,ANAKIN,As a member of the senate.,874967
PADME,ANAKIN,maybe I can find a diplomatic solution to this mess.,874967
ANAKIN,PADME,Don't worry.,874967
ANAKIN,PADME,I've given up trying to argue with you.,874967
R2D2,THREEPIO,"[ Whistling, Beeping ]",874967
THREEPIO,R2D2,"My obtuse little friend, if they had needed our help.",874967
THREEPIO,R2D2,they would have asked for it.,874967
THREEPIO,R2D2,You obviously have a great deal to learn about human behavior.,874967
R2D2,THREEPIO,[ Beeping ] [ Beeping ]
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,For a mechanic.,874967
THREEPIO,R2D2,you seem to do an excessive amount of thinking.,874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,I am programmed to understand humans!,874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,What does that mean?,874967
THREEPIO,R2D2,'' Oh!,874967
THREEPIO,R2D2,That means I am in charge here!,874967
R2D2,THREEPIO,[ Raspberries ]
THREEPIO,R2D2,Where are you going now?,874967
THREEPIO,R2D2,You don't know what's out there.,874967
THREEPIO,R2D2,Have you no sense at all?,874967
THREEPIO,R2D2,Oh!,874967
THREEPIO,R2D2,Idiot!,874967
THREEPIO,R2D2,Please wait.,874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,Do you know where you're going?,874967
ANAKIN,PADME,Wait.,874967
THREEPIO,R2D2,"Oh, my.",874967
THREEPIO,R2D2,"Oh, oh oh!",874967
ANAKIN,PADME,Padme!,874967
THREEPIO,R2D2,"Oh, my goodness!",874967
THREEPIO,R2D2,Shut me down!,874967
THREEPIO,R2D2,Machines making machines.,874967
THREEPIO,R2D2,Huh!,874967
THREEPIO,R2D2,How perverse.,874967
THREEPIO,R2D2,Oh!,874967
THREEPIO,R2D2,"Calm down, R2.",874967
THREEPIO,R2D2,I almost fell.,874967
THREEPIO,R2D2,You'll get your chance--.,874967
THREEPIO,THREEPIO,Oh!,874967
THREEPIO,THREEPIO,I'm scrap.,874967
THREEPIO,THREEPIO,It's a nightmare!,874967
THREEPIO,THREEPIO,"Oh, I want to go home!",874967
THREEPIO,THREEPIO,"Oh, what did I do to deserve this?",874967
R2D2,R2D2,[ Beeping ] [ Whistling ]
THREEPIO,THREEPIO,Hmm.,874967
THREEPIO,THREEPIO,I wonder what happened to poor little R2.,874967
THREEPIO,THREEPIO,He's always getting himself into trouble.,874967
THREEPIO,THREEPIO,Oops.,874967
THREEPIO,THREEPIO,"Oh, no!",874967
THREEPIO,THREEPIO,"Oh, I'm so confused.",874967
ANAKIN,ANAKIN,"Oh, not again.",874967
ANAKIN,ANAKIN,Obi-Wan's gonna kill me.,874967
JANGO FETT,ANAKIN,"Don't move, Jedi!",874967
JANGO FETT,NA,Take him away.,874967
ANAKIN,PADME,Don't be afraid.,874967
PADME,ANAKIN,I'm not afraid to die.,874967
PADME,ANAKIN,I've been dying a little bit each day since you came back into my life.,874967
ANAKIN,PADME,What are you talking about?,874967
PADME,ANAKIN,I love you.,874967
ANAKIN,PADME,You love me?,874967
ANAKIN,PADME,I thought that we had decided not to fall in love.,874967
ANAKIN,PADME,that we would be forced to live a lie.,874967
ANAKIN,PADME,and that it would destroy our lives.,874967
PADME,ANAKIN,I think our lives are about to be destroyed anyway.,874967
PADME,ANAKIN,I truly.,874967
PADME,ANAKIN,deeply love you.,874967
PADME,ANAKIN,"and before we die, I want you to know.",874967
OBI-WAN,ANAKIN,I was beginning to wonder if you'd got my message.,874967
ANAKIN,OBI-WAN,"I retransmitted it just as you had requested, Master.",874967
ANAKIN,OBI-WAN,Then we decided to come and rescue you.,874967
OBI-WAN,ANAKIN,Good job.,874967
POGGLE THE LESSER,GROUP,Settle down.,874967
POGGLE THE LESSER,GROUP,Settle down.,874967
POGGLE THE LESSER,GROUP,Let the executions begin.,874967
ANAKIN,OBI-WAN,I've got a bad feeling about this.,874967
OBI-WAN,ANAKIN,Just relax.,874967
OBI-WAN,ANAKIN,Concentrate.,874967
ANAKIN,OBI-WAN,What about Padme?,874967
OBI-WAN,ANAKIN,She seems to be on top of things.,874967
NUTE,RUNE,She can't do that!,874967
NUTE,RUNE,Shoot her or-- or something!,874967
ANAKIN,PADME,Jump!,874967
NUTE,COUNT DOOKU,This isn't how it's supposed to be!,874967
NUTE,JANGO FETT,Jango!,874967
NUTE,JANGO FETT,Finish her off!,874967
COUNT DOOKU,NUTE,"Patience, Viceroy, patience.",874967
COUNT DOOKU,NUTE,She will die.,874967
COUNT DOOKU,MACE WINDU,"Master Windu, how pleasant of you to join us.",874967
MACE WINDU,COUNT DOOKU,This party's over.,874967
COUNT DOOKU,MACE WINDU,"Brave but foolish, my old Jedi friend.",874967
COUNT DOOKU,MACE WINDU,You're impossibly outnumbered.,874967
MACE WINDU,COUNT DOOKU,I don't think so.,874967
COUNT DOOKU,MACE WINDU,We'll see.,874967
ROBOT,NA,My legs aren't moving.,874967
ROBOT,NA,I must need maintenance.,874967
THREEPIO,THREEPIO,What's all this noise?,874967
THREEPIO,THREEPIO,A battle!,874967
THREEPIO,THREEPIO,"Oh, there's been some terrible mistake!",874967
THREEPIO,THREEPIO,"I'm programmed for etiquette, not destruction!",874967
THREEPIO,GROUP,"Die, Jedi dogs!",874967
THREEPIO,THREEPIO,Oh!,874967
THREEPIO,THREEPIO,What did I say?,874967
THREEPIO,THREEPIO,"Oh, dear.",874967
THREEPIO,THREEPIO,I'm terribly sorry about all this.,874967
THREEPIO,NA,Excuse me.,874967
THREEPIO,NA,I'm trapped.,874967
THREEPIO,NA,I can't get up.,874967
ANAKIN,PADME,You call this a diplomatic solution?,874967
PADME,ANAKIN,"No, I call it aggressive negotiations.",874967
ROBOT,NA,"Roger, roger.",874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,"R2, what are you doing here?",874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,What are you doing?,874967
THREEPIO,R2D2,"Oh, stop that!",874967
THREEPIO,R2D2,You're going to strain something.,874967
THREEPIO,R2D2,My neck!,874967
THREEPIO,R2D2,Now where are you taking me?,874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,"Oh, this is such a drag.",874967
THREEPIO,R2D2,"Oh, I'm quite beside myself.",874967
THREEPIO,R2D2,"R2, please be careful!",874967
THREEPIO,R2D2,You're singeing my circuits!,874967
R2D2,THREEPIO,[ Beeping ]
THREEPIO,R2D2,"Yes, but is my head on straight?",874967
COUNT DOOKU,MACE WINDU,"Master Windu, you have fought gallantly.",874967
COUNT DOOKU,MACE WINDU,worthy of recognition in the archives of the Jedi order.,874967
COUNT DOOKU,MACE WINDU,Now it is finished.,874967
COUNT DOOKU,MACE WINDU,"Surrender, and your lives will be spared.",874967
MACE WINDU,COUNT DOOKU,"We will not be hostages to be bartered, Dooku!",874967
COUNT DOOKU,MACE WINDU,"Then, I'm sorry, old friend.",874967
PADME,GROUP,Look!,874967
YODA,GROUP,Around the survivors a perimeter create.,874967
R2D2,THREEPIO,"[ Beeping, Chirping ]",874967
THREEPIO,R2D2,"Oh, I've had the most peculiar dream.",874967
YODA,"MACE WINDO, KI-ADI-MUNDI",If Dooku escapes.,874967
YODA,"MACE WINDO, KI-ADI-MUNDI",rally more systems to his cause he will.,874967
OBI-WAN,"PADME, ANAKIN",Hold on!,874967
ANAKIN,NA,Aim right above the fuel cells!,874967
OBI-WAN,ANAKIN,"Good call, my young Padawan.",874967
NUTE,"COUNT DOOKU, POGGLE THE LESSER, RUNE",The Jedi have amassed a huge army.,874967
COUNT DOOKU,"NUTE, POGGLE THE LESSER",That doesn't seem possible.,874967
COUNT DOOKU,"NUTE, POGGLE THE LESSER",How could the Jedi come up with an army so quickly?,874967
NUTE,"COUNT DOOKU, POGGLE THE LESSER",We must send all available droids into battle.,874967
COUNT DOOKU,"NUTE, POGGLE THE LESSER",There are too many.,874967
POGGLE THE LESSER,"COUNT DOOKU, NUTE",Our communications have been jammed.,874967
MACE WINDU,PILOT,"Pilot, land in that assembly area!",874967
PILOT,MACE WINDU,"Yes, sir.",874967
COMMANDO CAPTAIN,NA,"Sir, I have five special commando units awaiting your orders, sir.",874967
YODA,NA,To the forward command center take me.,874967
OBI-WAN,NA,Attack those Federation starships!,874967
OBI-WAN,NA,Quickly!,874967
COMMANDO CAPTAIN,YODA,"Master Yoda, all forward positions are advancing.",874967
YODA,COMMANDO CAPTAIN,Very good.,874967
YODA,COMMANDO CAPTAIN,Very good.,874967
NUTE,COUNT DOOKU,This is not looking good at all!,874967
RUNE,NUTE,We must get the starships back into space.,874967
POGGLE THE LESSER,COUNT DOOKU,We have to order a retreat.,874967
COUNT DOOKU,POGGLE THE LESSER,My master will never allow the Republic.,874967
COUNT DOOKU,POGGLE THE LESSER,to get away with this treachery.,874967
POGGLE THE LESSER,COUNT DOOKU,I'm sending my warriors to hide in the catacombs.,874967
POGGLE THE LESSER,COUNT DOOKU,The Jedi must not find our designs for the ultimate weapon.,874967
POGGLE THE LESSER,COUNT DOOKU,"If they find out what we are planning to build, we're doomed.",874967
COUNT DOOKU,POGGLE THE LESSER,I will take the designs with me to Coruscant.,874967
COUNT DOOKU,POGGLE THE LESSER,They will be much safer there with my master.,874967
YODA,COMMANDO CAPTAIN,Concentrate all your fire on the nearest starship.,874967
COMMANDO CAPTAIN,YODA,"Yes, sir.",874967
COMMANDO CAPTAIN,NA,Move all quadrants to sector 5-1 -5.,874967
OBI-WAN,ANAKIN,Look over there!,874967
ANAKIN,OBI-WAN,It's Dooku!,874967
ANAKIN,COMMANDO CAPTAIN,Shoot him down!,874967
COMMANDO CAPTAIN,ANAKIN,"We're out of rockets, sir.",874967
ANAKIN,COMMANDO CAPTAIN,Follow him!,874967
PADME,"ANAKIN, OBI-WAN",We're gonna need some help!,874967
OBI-WAN,"PADME, ANAKIN",There isn't time!,874967
OBI-WAN,"PADME, ANAKIN",Anakin and I can handle this!,874967
ANAKIN,PADME,Padme!,874967
ANAKIN,COMMANDO CAPTAIN,Put the ship down!,874967
OBI-WAN,ANAKIN,Anakin!,874967
OBI-WAN,ANAKIN,Don't let your personal feelings get in the way!,874967
OBI-WAN,ANAKIN,Follow that speeder!,874967
ANAKIN,COMMANDO CAPTAIN,Lower the ship!,874967
OBI-WAN,ANAKIN,I can't take Dooku alone!,874967
OBI-WAN,ANAKIN,I need you!,874967
OBI-WAN,ANAKIN,"If we catch him, we can end this war right now!",874967
OBI-WAN,ANAKIN,We have a job to do!,874967
ANAKIN,OBI-WAN,I don't care!,874967
ANAKIN,COMMANDO CAPTAIN,Put the ship down!,874967
OBI-WAN,ANAKIN,You will be expelled from the Jedi order!,874967
ANAKIN,OBI-WAN,I can't leave her!,874967
OBI-WAN,ANAKIN,Come to your senses!,874967
OBI-WAN,ANAKIN,What do you think Padme would do were she in your position?,874967
ANAKIN,OBI-WAN,She would do her duty.,874967
COMMANDO CAPTAIN,YODA,The droid army is in full retreat.,874967
YODA,NA,"Well done, Commander.",874967
YODA,NA,Bring me a ship.,874967
ANAKIN,COUNT DOOKU,"You're gonna pay for all the Jedi that you killed today, Dooku.",874967
OBI-WAN,ANAKIN,We'll take him together.,874967
OBI-WAN,ANAKIN,Go in slowly on the left.,874967
ANAKIN,OBI-WAN,I'm taking him now!,874967
OBI-WAN,ANAKIN,"No, Anakin!",874967
OBI-WAN,ANAKIN,No!,874967
OBI-WAN,ANAKIN,No!,874967
COUNT DOOKU,OBI-WAN,"As you see, my Jedi powers are far beyond yours.",874967
COUNT DOOKU,OBI-WAN,Now.,874967
COUNT DOOKU,OBI-WAN,back down.,874967
OBI-WAN,COUNT DOOKU,I don't think so.,874967
COUNT DOOKU,OBI-WAN,"Master Kenobi, you disappoint me.",874967
COUNT DOOKU,OBI-WAN,Yoda holds you in such high esteem.,874967
COUNT DOOKU,OBI-WAN,Surely you can do better.,874967
COMMANDO CAPTAIN,PADME,Are you all right?,874967
PADME,COMMANDO CAPTAIN,Uh-huh.,874967
COMMANDO CAPTAIN,PADME,We'd better get back to the forward command center.,874967
PADME,COMMANDO CAPTAIN,No.,874967
PADME,COMMANDO CAPTAIN,No.,874967
PADME,COMMANDO CAPTAIN,Gather what troops you can.,874967
PADME,COMMANDO CAPTAIN,We've got to get to that hangar.,874967
PADME,COMMANDO CAPTAIN,Get a transport.,874967
PADME,COMMANDO CAPTAIN,Hurry!,874967
COMMANDO CAPTAIN,PADME,Right away.,874967
COUNT DOOKU,ANAKIN,"Brave of you, boy.",874967
COUNT DOOKU,ANAKIN,But I would have thought you had learned your lesson.,874967
ANAKIN,COUNT DOOKU,I am a slow learner.,874967
OBI-WAN,ANAKIN,Anakin!,874967
