from,to,dialogue,yarn_id
ANAKIN,OBI-WAN,I don't know why I keep dreaming bbout her.,873889
OBI-WAN,ANAKIN,Dreams pass in time.,873890
ANAKIN,OBI-WAN,I'd much rather dream about Padme.,873891
ANAKIN,OBI-WAN,Just being around her again is.,873892
ANAKIN,OBI-WAN,intoxicating.,873892
OBI-WAN,ANAKIN,"Be mindful of your thoughts, Anakin, they betray you.",873893
OBI-WAN,ANAKIN,You've made a commitment to the Jedi order.,873894
OBI-WAN,ANAKIN,a commitment not easily broken.,873895
OBI-WAN,ANAKIN,and don't forget she's a politician and they're not to be trusted.,873896
ANAKIN,OBI-WAN,"She's not like the others in the Senate, Master.",873897
OBI-WAN,ANAKIN,It's been my experience that Senators are only focused on pleasing those who fund their campaigns.,873899
OBI-WAN,ANAKIN,and they are in no means scared of forgetting the niceties of democracy in order to get those funds.,873900
ANAKIN,OBI-WAN,"Not another lecture, Master.",873901
ANAKIN,OBI-WAN,At least not on the economics of politics.,873902
ANAKIN,OBI-WAN,"And besides, you're generalizing.",873903
ANAKIN,OBI-WAN,The Chancellor doesn't appear to be corrupt.,873904
OBI-WAN,ANAKIN,"Palpatine is a politician, I have observed that he is very clever at following the passions and prejudices of the Senators.",873905
ANAKIN,OBI-WAN,I think he's a good man.,873908
ANAKIN,OBI-WAN,My-.,873908
OBI-WAN,ANAKIN,"I sense it, too.",873909
ANAKIN,PADME,Stay here!,873910
DORME,PADME,"Are you all right, m'lady?",873911
OBI-WAN,ANAKIN,What took you so long?,873914
ANAKIN,OBI-WAN,"Oh, you know, Master, I couldn't find a speeder that I really liked,",873914
OBI-WAN,ANAKIN,There he is,873915
ANAKIN,OBI-WAN,with an open cockpit.,873916
ANAKIN,OBI-WAN,and with the right speed capabilities.,873916
OBI-WAN,ANAKIN,If you spent as much time practicing your saber techniques as you do on your wit you would rival Master Yoda as a swordsman.,873918
ANAKIN,OBI-WAN,I thought I already did.,873919
OBI-WAN,ANAKIN,"Only in your mind, my very young apprentice.",873920
OBI-WAN,ANAKIN,"Pull up, Anakin.",873921
OBI-WAN,ANAKIN,Pull up!,873921
OBI-WAN,ANAKIN,You know I don't like it when you do that.,873922
ANAKIN,OBI-WAN,"Sorry, Master, I forgot you don't like flying.",873923
OBI-WAN,ANAKIN,I don't mind flying.,873924
OBI-WAN,ANAKIN,but what you're doing is suicide!,873924
OBI-WAN,ANAKIN,Anakin!,873925
OBI-WAN,ANAKIN,How many times have I told you stay away from power couplings!,873926
OBI-WAN,ANAKIN,That was good.,873927
OBI-WAN,ANAKIN,Where are you going?,873928
OBI-WAN,ANAKIN,He went that way.,873928
ANAKIN,OBI-WAN,"Master, if we keep this chase going, that creep's gonna end up deep fried.",873930
ANAKIN,OBI-WAN,"Personally, I'd very much like to find out who he is and who he's working for.",873931
ANAKIN,OBI-WAN,This is a shortcut.,873932
ANAKIN,OBI-WAN,I think.,873932
OBI-WAN,ANAKIN,"Well, you've lost him.",873933
ANAKIN,OBI-WAN,"I'm deeply sorry, Master.",873934
OBI-WAN,ANAKIN,"That was some shortcut, Anakin.",873935
OBI-WAN,ANAKIN,He went completely the other way.,873936
OBI-WAN,ANAKIN,Once again you've proved.,873937
ANAKIN,OBI-WAN,If you'll excuse me.,873937
OBI-WAN,OBI-WAN,I hate it when he does that.,873938
OBI-WAN,ANAKIN,Anakin!,873939
ANAKIN,OBI-WAN,"She went into the club, Master.",873940
OBI-WAN,ANAKIN,Patience.,873940
OBI-WAN,ANAKIN,Use the Force.,873941
OBI-WAN,ANAKIN,Think.,873941
ANAKIN,OBI-WAN,"Sorry, Master.",873941
OBI-WAN,ANAKIN,"He went in there to hide, not to run.",873942
ANAKIN,OBI-WAN,"Yes, Master.",873942
OBI-WAN,ANAKIN,"Next time, try not to lose it.",873943
ANAKIN,OBI-WAN,"Yes, Master.",873943
OBI-WAN,ANAKIN,This weapon is your life.,873944
ANAKIN,OBI-WAN,"I try, Master.",873944
OBI-WAN,ANAKIN,Why do I get the feeling you're going to be the death of me?,873945
ANAKIN,OBI-WAN,Don't say that Master.,873946
ANAKIN,OBI-WAN,You're the closest thing I have to a father.,873947
OBI-WAN,ANAKIN,Then why don't you listen to me?,873948
ANAKIN,OBI-WAN,I am trying,873949
OBI-WAN,ANAKIN,Can you see him?,873950
ANAKIN,OBI-WAN,I think he is a she.,873951
ANAKIN,OBI-WAN,And I think she is a changeling.,873952
OBI-WAN,ANAKIN,"In that case, extra careful.",873953
OBI-WAN,ANAKIN,Go and find her.,873954
ANAKIN,OBI-WAN,"Where are you going, Master?",873954
OBI-WAN,ANAKIN,For a drink.,873955
OBI-WAN,NA,Thank you.,873956
ELAN,OBI-WAN,You wanna buy some death sticks?,873957
OBI-WAN,ELAN,You don't want to sell me death-sticks.,873957
ELAN,OBI-WAN,I don't want to sell you death sticks.,873958
OBI-WAN,ELAN,You want to go home and rethink your life.,873959
ELAN,OBI-WAN,I want to go home and rethink my life.,873960
ANAKIN,NA,Easy.,873961
ANAKIN,NA,Jedi business.,873962
ANAKIN,NA,Go back to your drinks.,873962
OBI-WAN,ZAM WESSEL,Do you know who it was you were trying to kill?,873963
ZAM WESSEL,"OBI-WAN, ANAKIN",The Senator from Naboo.,873964
